Movie Title,Director,Genre,Release Year
A Tree Grows in Brooklyn,Elia Kazan,Drama,1945
Gentleman's Agreement,Elia Kazan,Drama,1947
Boomerang!,Elia Kazan,"Drama, Mystery",1947
The Sea of Grass,Elia Kazan,"Drama, Western, Romance",1947
Pinky,Elia Kazan,Drama,1949
Panic in the Streets,Elia Kazan,"Thriller, Crime",1950
A Streetcar Named Desire,Elia Kazan,"Drama, Thriller",1951
Viva Zapata!,Elia Kazan,"History, Drama, Western",1952
Man on a Tightrope,Elia Kazan,"Drama, Thriller",1953
On the Waterfront,Elia Kazan,"Crime, Drama, Romance",1954
East of Eden,Elia Kazan,Drama,1955
Baby Doll,Elia Kazan,Drama,1956
A Face in the Crowd,Elia Kazan,Drama,1957
Wild River,Elia Kazan,"Drama, Romance",1960
Splendor in the Grass,Elia Kazan,"Drama, Romance",1961
America America,Elia Kazan,"Drama, History",1963
The Arrangement,Elia Kazan,"Drama, Romance",1969
The Visitors,Elia Kazan,"Drama, Crime, Thriller",1972
The Last Tycoon,Elia Kazan,"Drama, Romance",1976
Promising Young Woman,Emerald Fennell,"Thriller, Crime, Drama",2020
Saltburn,Emerald Fennell,"Drama, Comedy, Thriller",2023
The Eyes of the Mummy,Ernst Lubitsch,"Drama, Horror, Adventure",1918
Madame DuBarry,Ernst Lubitsch,"Drama, History",1919
The Doll,Ernst Lubitsch,"Comedy, Romance, Fantasy",1919
The Oyster Princess,Ernst Lubitsch,Comedy,1919
Meyer from Berlin,Ernst Lubitsch,Comedy,1919
"My Wife, the Movie Star",Ernst Lubitsch,Comedy,1919
Intoxication,Ernst Lubitsch,Drama,1919
Anna Boleyn,Ernst Lubitsch,"History, Drama",1920
Sumurun,Ernst Lubitsch,"Adventure, Drama, Romance",1920
Kohlhiesel's Daughters,Ernst Lubitsch,"Comedy, Romance",1920
The Wildcat,Ernst Lubitsch,"Comedy, Drama, Romance",1921
The Loves of Pharaoh,Ernst Lubitsch,"History, Drama, Romance",1922
Rosita,Ernst Lubitsch,"Romance, Comedy, History",1923
The Marriage Circle,Ernst Lubitsch,"Comedy, Romance",1924
Three Women,Ernst Lubitsch,Drama,1924
Forbidden Paradise,Ernst Lubitsch,"Comedy, Romance",1924
Lady Windermere's Fan,Ernst Lubitsch,"Comedy, Drama",1925
Kiss Me Again,Ernst Lubitsch,Comedy,1925
So This Is Paris,Ernst Lubitsch,Comedy,1926
The Honeymoon Express,Ernst Lubitsch,Drama,1926
The Patriot,Ernst Lubitsch,Drama,1928
The Student Prince in Old Heidelberg,Ernst Lubitsch,"Drama, Romance",1928
Eternal Love,Ernst Lubitsch,"Drama, Romance",1929
The Love Parade,Ernst Lubitsch,"Comedy, Romance",1930
Monte Carlo,Ernst Lubitsch,"Comedy, Music, Romance",1930
Paramount on Parade,Ernst Lubitsch,"Music, Comedy",1930
The Smiling Lieutenant,Ernst Lubitsch,"Comedy, Romance",1931
Trouble in Paradise,Ernst Lubitsch,"Comedy, Crime, Romance",1932
One Hour with You,Ernst Lubitsch,"Comedy, Romance",1932
Broken Lullaby,Ernst Lubitsch,Drama,1932
If I Had a Million,Ernst Lubitsch,"Drama, Comedy",1932
Design for Living,Ernst Lubitsch,"Comedy, Romance",1933
The Merry Widow,Ernst Lubitsch,"Comedy, Music, Romance",1934
Angel,Ernst Lubitsch,"Romance, Drama, Comedy",1937
Bluebeard's Eighth Wife,Ernst Lubitsch,"Comedy, Romance",1938
Ninotchka,Ernst Lubitsch,"Comedy, Romance",1939
The Shop Around the Corner,Ernst Lubitsch,"Comedy, Drama, Romance",1940
That Uncertain Feeling,Ernst Lubitsch,"Comedy, Romance",1941
To Be or Not to Be,Ernst Lubitsch,"Comedy, War",1942
Heaven Can Wait,Ernst Lubitsch,"Comedy, Romance, Fantasy, Drama",1943
A Royal Scandal,Ernst Lubitsch,"Comedy, History, Drama",1945
Cluny Brown,Ernst Lubitsch,"Romance, Comedy",1946
That Lady in Ermine,Ernst Lubitsch,"Comedy, Romance, Fantasy, Music",1948
Miller's Crossing,Ethan Coen,"Drama, Thriller, Crime",1990
The Ladykillers,Ethan Coen,"Comedy, Crime, Thriller",2004
No Country for Old Men,Ethan Coen,"Crime, Drama, Thriller",2007
Burn After Reading,Ethan Coen,"Comedy, Drama",2008
A Serious Man,Ethan Coen,"Comedy, Drama",2009
True Grit,Ethan Coen,"Drama, Adventure, Western",2010
Inside Llewyn Davis,Ethan Coen,"Drama, Music",2013
"Hail, Caesar!",Ethan Coen,"Comedy, Crime, Mystery",2016
The Ballad of Buster Scruggs,Ethan Coen,"Western, Comedy, Drama",2018
Jerry Lee Lewis: Trouble in Mind,Ethan Coen,"Documentary, Music",2022
Drive-Away Dolls,Ethan Coen,"Comedy, Crime",2024
Olhar Eletrônico,Fernando Meirelles,Documentary,1986
The Nutty Boy 2,Fernando Meirelles,"Adventure, Comedy, Family",1998
Maids,Fernando Meirelles,"Drama, Comedy",2001
City of God,Fernando Meirelles,"Drama, Crime",2002
The Constant Gardener,Fernando Meirelles,"Drama, Mystery, Thriller",2005
Blindness,Fernando Meirelles,"Drama, Mystery, Science Fiction, Thriller",2008
Sound & Fury: Film,Fernando Meirelles,Drama,2010
360,Fernando Meirelles,"Drama, Romance",2012
"Rio, I Love You",Fernando Meirelles,"Romance, Drama",2014
Rio 2016 Olympic Opening Ceremony: A New World,Fernando Meirelles,Documentary,2016
The Two Popes,Fernando Meirelles,"Drama, History",2019
Tonight for Sure,Francis Ford Coppola,"Comedy, Western",1962
The Bellboy and the Playgirls,Francis Ford Coppola,Comedy,1962
Dementia 13,Francis Ford Coppola,"Horror, Mystery, Thriller",1963
The Terror,Francis Ford Coppola,"Horror, Mystery",1963
You're a Big Boy Now,Francis Ford Coppola,"Comedy, Romance",1966
Finian's Rainbow,Francis Ford Coppola,"Fantasy, Romance, Family",1968
The Rain People,Francis Ford Coppola,Drama,1969
The Godfather,Francis Ford Coppola,"Drama, Crime",1972
The Conversation,Francis Ford Coppola,"Crime, Drama, Mystery",1974
The Godfather Part II,Francis Ford Coppola,"Drama, Crime",1974
Apocalypse Now,Francis Ford Coppola,"Drama, War",1979
The Godfather 1901–1959: The Complete Epic,Francis Ford Coppola,"Crime, Drama",1981
The Godfather Epic: 1901-1959,Francis Ford Coppola,"Crime, Drama",1981
One from the Heart,Francis Ford Coppola,"Drama, Romance",1982
Rumble Fish,Francis Ford Coppola,"Crime, Drama",1983
The Outsiders,Francis Ford Coppola,"Crime, Drama",1983
The Cotton Club,Francis Ford Coppola,"Crime, Drama",1984
Peggy Sue Got Married,Francis Ford Coppola,"Comedy, Drama, Fantasy",1986
Gardens of Stone,Francis Ford Coppola,"War, Drama, History",1987
Tucker: The Man and His Dream,Francis Ford Coppola,Drama,1988
New York Stories,Francis Ford Coppola,"Comedy, Drama",1989
The Godfather Part III,Francis Ford Coppola,"Crime, Drama, Thriller",1990
Bram Stoker's Dracula,Francis Ford Coppola,"Romance, Horror",1992
Jack,Francis Ford Coppola,"Comedy, Family, Drama",1996
The Rainmaker,Francis Ford Coppola,"Drama, Crime, Thriller",1997
Youth Without Youth,Francis Ford Coppola,"Fantasy, Drama, Mystery",2007
Tetro,Francis Ford Coppola,Drama,2009
Twixt,Francis Ford Coppola,"Mystery, Fantasy, Horror",2011
Megalopolis,Francis Ford Coppola,"Drama, Science Fiction",2024
Until They Get Me,Frank Borzage,Drama,1917
The Gun Woman,Frank Borzage,Western,1918
Toton,Frank Borzage,Drama,1919
Humoresque,Frank Borzage,Drama,1920
Get-Rich-Quick Wallingford,Frank Borzage,,1921
Back Pay,Frank Borzage,Drama,1922
The Pride of Palomar,Frank Borzage,Drama,1922
Billy Jim,Frank Borzage,"Western, Comedy",1922
The Valley of Silent Men,Frank Borzage,"Drama, Romance, Action, Western",1922
The Nth Commandment,Frank Borzage,Drama,1923
Lazybones,Frank Borzage,"War, Romance, Drama",1925
The Circle,Frank Borzage,Comedy,1925
The Lady,Frank Borzage,Drama,1925
Daddy's Gone A-Hunting,Frank Borzage,Drama,1925
The First Year,Frank Borzage,Comedy,1926
Marriage License?,Frank Borzage,"Crime, Drama, Mystery",1926
7th Heaven,Frank Borzage,"Drama, Romance",1927
Street Angel,Frank Borzage,"Drama, Romance",1928
Lucky Star,Frank Borzage,"Romance, Drama",1929
The River,Frank Borzage,"Romance, Drama",1929
They Had to See Paris,Frank Borzage,Comedy,1929
Liliom,Frank Borzage,Drama,1930
Song o' My Heart,Frank Borzage,Drama,1930
Bad Girl,Frank Borzage,"Romance, Drama",1931
Doctors' Wives,Frank Borzage,Drama,1931
Young as You Feel,Frank Borzage,Comedy,1931
A Farewell to Arms,Frank Borzage,"Drama, Romance, War",1932
After Tomorrow,Frank Borzage,Drama,1932
Young America,Frank Borzage,"Drama, Crime",1932
Secrets,Frank Borzage,"Drama, Western",1933
Man's Castle,Frank Borzage,"Drama, Romance",1933
Flirtation Walk,Frank Borzage,"Music, Romance",1934
No Greater Glory,Frank Borzage,Drama,1934
"Little Man, What Now?",Frank Borzage,"Drama, Romance",1934
Stranded,Frank Borzage,"Romance, Drama",1935
Shipmates Forever,Frank Borzage,"Drama, Music",1935
Living on Velvet,Frank Borzage,"Romance, Drama",1935
Desire,Frank Borzage,"Romance, Comedy, Crime, Drama",1936
Hearts Divided,Frank Borzage,"Drama, Romance, Music, History",1936
History Is Made at Night,Frank Borzage,"Romance, Drama",1937
Big City,Frank Borzage,Drama,1937
Green Light,Frank Borzage,"Drama, Romance",1937
Mannequin,Frank Borzage,"Drama, Romance",1938
The Shining Hour,Frank Borzage,"Drama, Romance",1938
Three Comrades,Frank Borzage,"Drama, Romance",1938
Disputed Passage,Frank Borzage,"Drama, War",1939
The Mortal Storm,Frank Borzage,Drama,1940
Strange Cargo,Frank Borzage,"Drama, Romance, Adventure",1940
Flight Command,Frank Borzage,"Drama, War",1940
Smilin' Through,Frank Borzage,"Music, Fantasy, Romance",1941
Seven Sweethearts,Frank Borzage,"Music, Romance",1942
The Vanishing Virginian,Frank Borzage,"Drama, Comedy",1942
His Butler's Sister,Frank Borzage,"Comedy, Music, Romance",1943
Stage Door Canteen,Frank Borzage,"Comedy, Music, Romance, War",1943
Till We Meet Again,Frank Borzage,"War, Drama",1944
The Spanish Main,Frank Borzage,"Adventure, Drama, Romance",1945
I've Always Loved You,Frank Borzage,"Romance, Drama",1946
Magnificent Doll,Frank Borzage,"Drama, History",1946
That's My Man,Frank Borzage,"Drama, Romance",1947
Moonrise,Frank Borzage,Drama,1948
China Doll,Frank Borzage,"Drama, Romance, War",1958
The Big Fisherman,Frank Borzage,Drama,1959
The Strong Man,Frank Capra,"Comedy, Romance",1926
Long Pants,Frank Capra,Comedy,1927
For the Love of Mike,Frank Capra,"Drama, Romance",1927
The Matinee Idol,Frank Capra,"Romance, Comedy",1928
That Certain Thing,Frank Capra,"Romance, Comedy",1928
The Power of the Press,Frank Capra,Drama,1928
Submarine,Frank Capra,"Action, Drama, Adventure",1928
The Way of the Strong,Frank Capra,,1928
Say It with Sables,Frank Capra,Comedy,1928
So This Is Love,Frank Capra,"Romance, Comedy",1928
The Younger Generation,Frank Capra,Drama,1929
Flight,Frank Capra,"Adventure, Action",1929
The Donovan Affair,Frank Capra,"Crime, Mystery",1929
Rain or Shine,Frank Capra,"Romance, Drama, Comedy, Music",1930
Ladies of Leisure,Frank Capra,"Drama, Romance",1930
Platinum Blonde,Frank Capra,"Comedy, Romance",1931
The Miracle Woman,Frank Capra,Drama,1931
Dirigible,Frank Capra,"Adventure, Drama, War",1931
American Madness,Frank Capra,"Drama, Crime",1932
Forbidden,Frank Capra,"Drama, Romance",1932
The Bitter Tea of General Yen,Frank Capra,"Drama, Romance",1933
Lady for a Day,Frank Capra,"Comedy, Drama",1933
It Happened One Night,Frank Capra,"Comedy, Romance",1934
Broadway Bill,Frank Capra,"Comedy, Drama",1934
Mr. Deeds Goes to Town,Frank Capra,"Comedy, Drama, Romance",1936
Lost Horizon,Frank Capra,"Adventure, Fantasy, Drama, Romance",1937
You Can't Take It with You,Frank Capra,"Comedy, Romance",1938
Mr. Smith Goes to Washington,Frank Capra,"Comedy, Drama",1939
Meet John Doe,Frank Capra,"Comedy, Drama",1941
Prelude to War,Frank Capra,"Documentary, War",1942
Why We Fight: The Battle of Russia,Frank Capra,"Documentary, War",1943
Why We Fight: Divide and Conquer,Frank Capra,"Documentary, War",1943
Why We Fight: The Battle of Britain,Frank Capra,"Documentary, War",1943
Arsenic and Old Lace,Frank Capra,"Comedy, Crime",1944
Why We Fight: The Battle of China,Frank Capra,"War, Documentary",1944
Tunisian Victory,Frank Capra,"Documentary, War",1944
Attack in the Pacific,Frank Capra,Documentary,1944
Know Your Enemy: Japan,Frank Capra,"Documentary, War, History",1945
War Comes to America,Frank Capra,"Documentary, War",1945
Here Is Germany,Frank Capra,"War, Documentary",1945
It's a Wonderful Life,Frank Capra,"Drama, Family, Fantasy",1946
State of the Union,Frank Capra,"Comedy, Drama",1948
Riding High,Frank Capra,Comedy,1950
Here Comes the Groom,Frank Capra,"Comedy, Music, Romance",1951
Our Mr. Sun,Frank Capra,"Documentary, TV Movie, Animation",1956
Hemo the Magnificent,Frank Capra,"Animation, Family",1957
The Strange Case of the Cosmic Rays,Frank Capra,"Animation, Family",1957
A Hole in the Head,Frank Capra,"Comedy, Drama",1959
Pocketful of Miracles,Frank Capra,"Comedy, Drama",1961
Why We Fight: World War II: The Battle of China / War Comes to America,Frank Capra,Documentary,2000
The Reform Candidate,Frank Lloyd,Drama,1915
The World and the Woman,Frank Lloyd,Drama,1916
The Call of the Cumberlands,Frank Lloyd,Drama,1916
The Intrigue,Frank Lloyd,"Drama, Science Fiction, Romance, War",1916
A Tale of Two Cities,Frank Lloyd,"Romance, History, Drama",1917
Les Misérables,Frank Lloyd,Drama,1917
When a Man Sees Red,Frank Lloyd,Western,1917
The Rainbow Trail,Frank Lloyd,Western,1918
True Blue,Frank Lloyd,Western,1918
Riders of the Purple Sage,Frank Lloyd,Western,1918
Pitfalls of a Big City,Frank Lloyd,Drama,1919
The Great Lover,Frank Lloyd,Drama,1920
The Silver Horde,Frank Lloyd,"Adventure, Drama",1920
A Tale of Two Worlds,Frank Lloyd,Drama,1921
The Grim Comedian,Frank Lloyd,Drama,1921
The Sin Flood,Frank Lloyd,Drama,1922
The Eternal Flame,Frank Lloyd,"History, Drama",1922
Within the Law,Frank Lloyd,Drama,1923
Black Oxen,Frank Lloyd,"Drama, Romance, Science Fiction",1923
Ashes of Vengeance,Frank Lloyd,Drama,1923
The Voice from the Minaret,Frank Lloyd,"Romance, Drama",1923
The Sea Hawk,Frank Lloyd,"Adventure, Drama, Romance",1924
The Silent Watcher,Frank Lloyd,Drama,1924
The Splendid Road,Frank Lloyd,"Drama, Western",1925
Winds of Chance,Frank Lloyd,"Adventure, Drama",1925
The Eagle of the Sea,Frank Lloyd,Adventure,1926
The Wise Guy,Frank Lloyd,"Drama, Romance",1926
Children of Divorce,Frank Lloyd,"Romance, Drama",1927
The Divine Lady,Frank Lloyd,"Drama, History, Romance, War",1928
Drag,Frank Lloyd,Drama,1929
Weary River,Frank Lloyd,"Drama, Romance",1929
Young Nowheres,Frank Lloyd,"Drama, Romance",1929
Dark Streets,Frank Lloyd,"Adventure, Action, Crime",1929
Son of the Gods,Frank Lloyd,Drama,1930
The Lash,Frank Lloyd,Western,1930
The Right of Way,Frank Lloyd,"Drama, Romance",1930
The Way of All Men,Frank Lloyd,"Drama, Action",1930
East Lynne,Frank Lloyd,Drama,1931
The Age for Love,Frank Lloyd,Drama,1931
A Passport to Hell,Frank Lloyd,Drama,1932
Hoopla,Frank Lloyd,Drama,1933
Cavalcade,Frank Lloyd,"Drama, War",1933
Berkeley Square,Frank Lloyd,"Fantasy, Romance",1933
Servants' Entrance,Frank Lloyd,"Comedy, Music, Romance",1934
Mutiny on the Bounty,Frank Lloyd,"Adventure, Drama, History",1935
Under Two Flags,Frank Lloyd,"Adventure, Romance",1936
Maid of Salem,Frank Lloyd,Drama,1937
Wells Fargo,Frank Lloyd,"History, Western",1937
If I Were King,Frank Lloyd,"Adventure, History",1938
Rulers of the Sea,Frank Lloyd,Drama,1939
The Howards of Virginia,Frank Lloyd,"Drama, History, War",1940
The Lady from Cheyenne,Frank Lloyd,"Comedy, Drama, Western",1941
This Woman Is Mine,Frank Lloyd,"Adventure, Romance",1941
Forever and a Day,Frank Lloyd,"Drama, History",1943
Blood on the Sun,Frank Lloyd,"Action, Drama, War",1945
The Shanghai Story,Frank Lloyd,"Drama, Romance, Thriller",1954
The Last Command,Frank Lloyd,"History, Western, War",1955
People on Sunday,Fred Zinnemann,Drama,1930
Redes,Fred Zinnemann,Drama,1936
Kid Glove Killer,Fred Zinnemann,"Crime, Mystery",1942
Eyes in the Night,Fred Zinnemann,"Thriller, Mystery, Crime",1942
The Seventh Cross,Fred Zinnemann,"Drama, Thriller, War",1944
Little Mister Jim,Fred Zinnemann,Drama,1947
My Brother Talks to Horses,Fred Zinnemann,Comedy,1947
The Search,Fred Zinnemann,"Drama, War",1948
Act of Violence,Fred Zinnemann,Thriller,1949
The Men,Fred Zinnemann,Drama,1950
Teresa,Fred Zinnemann,"Drama, War",1951
High Noon,Fred Zinnemann,"Western, Thriller",1952
The Member of the Wedding,Fred Zinnemann,Drama,1952
From Here to Eternity,Fred Zinnemann,"War, Romance, Drama",1953
Oklahoma!,Fred Zinnemann,"Western, Music, Romance",1955
A Hatful of Rain,Fred Zinnemann,Drama,1957
The Nun's Story,Fred Zinnemann,Drama,1959
The Sundowners,Fred Zinnemann,"Drama, Adventure",1960
Behold a Pale Horse,Fred Zinnemann,"Drama, War",1964
A Man for All Seasons,Fred Zinnemann,"Drama, History",1966
The Day of the Jackal,Fred Zinnemann,"Action, Thriller",1973
Julia,Fred Zinnemann,"Drama, Romance, Thriller",1977
Five Days One Summer,Fred Zinnemann,"Drama, Romance",1982
Confessions of a Dangerous Mind,George Clooney,"Comedy, Crime, Drama",2002
"Good Night, and Good Luck.",George Clooney,"Drama, History",2005
Leatherheads,George Clooney,"Comedy, Romance, Drama",2008
The Ides of March,George Clooney,Drama,2011
The Monuments Men,George Clooney,"War, Drama, History, Action",2014
Suburbicon,George Clooney,"Thriller, Crime, Drama, Mystery",2017
The Midnight Sky,George Clooney,"Science Fiction, Drama",2020
The Tender Bar,George Clooney,Drama,2021
The Boys in the Boat,George Clooney,"Drama, History",2023
The Royal Family of Broadway,George Cukor,Comedy,1930
Grumpy,George Cukor,"Comedy, Mystery",1930
The Virtuous Sin,George Cukor,"War, Drama, Romance",1930
Girls About Town,George Cukor,Comedy,1931
Tarnished Lady,George Cukor,Drama,1931
A Bill of Divorcement,George Cukor,Drama,1932
What Price Hollywood?,George Cukor,Drama,1932
Rockabye,George Cukor,Drama,1932
The Animal Kingdom,George Cukor,"Comedy, Drama, Romance",1932
Dinner at Eight,George Cukor,"Comedy, Drama",1933
Little Women,George Cukor,"Drama, Family",1933
Our Betters,George Cukor,"Comedy, Drama, Romance",1933
Sylvia Scarlett,George Cukor,"Comedy, Drama, Romance",1935
David Copperfield,George Cukor,"Drama, Romance, Adventure",1935
No More Ladies,George Cukor,"Comedy, Romance",1935
Camille,George Cukor,"Drama, Romance, History",1936
Romeo and Juliet,George Cukor,"Drama, Romance",1936
Holiday,George Cukor,"Comedy, Romance, Drama",1938
Zaza,George Cukor,"Drama, Romance",1938
I Met My Love Again,George Cukor,"Drama, Romance",1938
The Women,George Cukor,"Comedy, Drama",1939
The Philadelphia Story,George Cukor,"Comedy, Romance",1940
Susan and God,George Cukor,"Comedy, Drama",1940
A Woman's Face,George Cukor,"Drama, Thriller",1941
Two-Faced Woman,George Cukor,"Comedy, Romance",1941
Her Cardboard Lover,George Cukor,"Comedy, Romance",1942
Keeper of the Flame,George Cukor,"Drama, Mystery",1943
Gaslight,George Cukor,"Thriller, Drama, Mystery, Crime",1944
Winged Victory,George Cukor,"Drama, War",1944
A Double Life,George Cukor,"Drama, Thriller",1947
Desire Me,George Cukor,"Drama, Romance, War",1947
"Edward, My Son",George Cukor,Drama,1949
Born Yesterday,George Cukor,"Comedy, Romance",1950
A Life of Her Own,George Cukor,Drama,1950
The Model and the Marriage Broker,George Cukor,"Comedy, Romance",1951
Pat and Mike,George Cukor,"Comedy, Romance",1952
The Marrying Kind,George Cukor,"Comedy, Drama, Romance",1952
The Actress,George Cukor,"Comedy, Drama",1953
A Star Is Born,George Cukor,"Drama, Music, Romance",1954
It Should Happen to You,George Cukor,"Comedy, Romance",1954
Bhowani Junction,George Cukor,"Adventure, Romance, Drama",1956
Les Girls,George Cukor,"Comedy, Music, Romance",1957
Wild Is the Wind,George Cukor,"Drama, Romance",1957
Hot Spell,George Cukor,Drama,1958
Let's Make Love,George Cukor,"Comedy, Romance",1960
Heller in Pink Tights,George Cukor,"Adventure, Romance, Western",1960
Song Without End,George Cukor,"Drama, Romance",1960
The Chapman Report,George Cukor,"Drama, Romance",1962
My Fair Lady,George Cukor,"Music, Comedy, Romance, Drama",1964
Justine,George Cukor,"Drama, Mystery, Romance",1969
Travels with My Aunt,George Cukor,"Adventure, Comedy",1972
Love Among the Ruins,George Cukor,"Drama, Romance, TV Movie, Comedy",1975
The Blue Bird,George Cukor,"Adventure, Family, Fantasy, Drama",1976
The Corn Is Green,George Cukor,"Drama, TV Movie",1979
Rich and Famous,George Cukor,Drama,1981
Mad Max,George Miller,"Adventure, Action, Thriller, Science Fiction",1979
Mad Max 2,George Miller,"Adventure, Action, Thriller, Science Fiction",1981
The Dismissal,George Miller,"History, Drama, TV Movie",1983
Twilight Zone: The Movie,George Miller,"Horror, Fantasy, Science Fiction",1983
Mad Max Beyond Thunderdome,George Miller,"Action, Adventure, Science Fiction",1985
The Witches of Eastwick,George Miller,"Comedy, Fantasy, Horror",1987
Lorenzo's Oil,George Miller,Drama,1992
"40,000 Years of Dreaming",George Miller,"Documentary, TV Movie",1997
Babe: Pig in the City,George Miller,"Family, Adventure, Comedy, Drama",1998
Happy Feet,George Miller,"Animation, Comedy, Family",2006
Happy Feet Two,George Miller,"Animation, Comedy, Family",2011
Mad Max: Fury Road,George Miller,"Action, Adventure, Science Fiction",2015
Three Thousand Years of Longing,George Miller,"Drama, Fantasy, Romance",2022
Furiosa: A Mad Max Saga,George Miller,"Action, Adventure, Science Fiction",2024
The Cohens and Kellys in Trouble,George Stevens,Comedy,1933
Kentucky Kernels,George Stevens,Comedy,1934
Bachelor Bait,George Stevens,"Romance, Comedy",1934
Hollywood Party,George Stevens,"Comedy, Music",1934
Alice Adams,George Stevens,"Romance, Drama",1935
Annie Oakley,George Stevens,"Drama, Western",1935
The Nitwits,George Stevens,"Comedy, Music",1935
Laddie,George Stevens,Drama,1935
Swing Time,George Stevens,"Romance, Comedy",1936
A Damsel in Distress,George Stevens,"Music, Comedy, Romance",1937
Quality Street,George Stevens,"Comedy, Drama, Romance",1937
Vivacious Lady,George Stevens,"Comedy, Romance",1938
Gunga Din,George Stevens,"Adventure, War, Action, Comedy",1939
Vigil in the Night,George Stevens,Drama,1940
Penny Serenade,George Stevens,"Drama, Romance",1941
Woman of the Year,George Stevens,"Comedy, Romance, Drama",1942
The Talk of the Town,George Stevens,"Comedy, Drama, Romance",1942
The More the Merrier,George Stevens,"Comedy, Romance",1943
Nazi Concentration Camps,George Stevens,"Documentary, History, War",1945
The Nazi Plan,George Stevens,Documentary,1945
George Stevens World War II Footage,George Stevens,,1946
I Remember Mama,George Stevens,"Family, Drama",1948
A Place in the Sun,George Stevens,"Drama, Romance, Crime",1951
Something to Live For,George Stevens,Drama,1952
Shane,George Stevens,"Drama, Western",1953
Giant,George Stevens,"Drama, Western",1956
The Diary of Anne Frank,George Stevens,"Drama, History",1959
The Greatest Story Ever Told,George Stevens,"Drama, History",1965
The Only Game in Town,George Stevens,"Romance, Drama, Comedy",1970
D-Day: The Color Footage,George Stevens,Documentary,1999
Nights and Weekends,Greta Gerwig,"Drama, Romance",2008
Lady Bird,Greta Gerwig,"Drama, Comedy",2017
Barbie,Greta Gerwig,"Comedy, Adventure",2023
Cronos,Guillermo del Toro,"Drama, Horror, Thriller",1993
Mimic,Guillermo del Toro,"Horror, Science Fiction",1997
The Devil's Backbone,Guillermo del Toro,"Fantasy, Drama, Horror, Thriller",2001
Blade II,Guillermo del Toro,"Fantasy, Horror, Action, Thriller",2002
Hellboy,Guillermo del Toro,"Fantasy, Action",2004
Pan's Labyrinth,Guillermo del Toro,"Fantasy, Drama, War",2006
Hellboy II: The Golden Army,Guillermo del Toro,"Fantasy, Adventure, Action",2008
Pacific Rim,Guillermo del Toro,"Action, Science Fiction, Adventure",2013
Crimson Peak,Guillermo del Toro,"Horror, Romance",2015
The Shape of Water,Guillermo del Toro,"Drama, Fantasy, Romance",2017
Nightmare Alley,Guillermo del Toro,"Crime, Drama, Thriller",2021
Guillermo del Toro's Pinocchio,Guillermo del Toro,"Animation, Fantasy, Drama",2022
Mala Noche,Gus Van Sant,Drama,1988
Drugstore Cowboy,Gus Van Sant,"Drama, Crime",1989
My Own Private Idaho,Gus Van Sant,Drama,1991
Even Cowgirls Get the Blues,Gus Van Sant,"Comedy, Drama, Romance, Western",1994
To Die For,Gus Van Sant,"Drama, Comedy, Crime",1995
Good Will Hunting,Gus Van Sant,Drama,1997
Psycho,Gus Van Sant,"Mystery, Thriller, Horror",1998
Finding Forrester,Gus Van Sant,Drama,2000
Gerry,Gus Van Sant,"Drama, Adventure",2002
David Bowie: Best of Bowie,Gus Van Sant,Music,2002
Elephant,Gus Van Sant,"Crime, Drama",2003
Last Days,Gus Van Sant,Drama,2005
Best of Chris Isaak,Gus Van Sant,Documentary,2006
Paranoid Park,Gus Van Sant,"Drama, Crime",2007
Milk,Gus Van Sant,"History, Drama",2008
8,Gus Van Sant,Drama,2008
Restless,Gus Van Sant,"Drama, Romance",2011
My Own Private River,Gus Van Sant,"Adventure, Drama",2011
Promised Land,Gus Van Sant,Drama,2012
The Sea of Trees,Gus Van Sant,Drama,2016
"Don't Worry, He Won't Get Far on Foot",Gus Van Sant,"Comedy, Drama",2018
Lord and Lady Algy,Harry Beaumont,Comedy,1919
The Fourteenth Lover,Harry Beaumont,Comedy,1922
Main Street,Harry Beaumont,Drama,1923
The Gold Diggers,Harry Beaumont,Comedy,1923
Crinoline and Romance,Harry Beaumont,Comedy,1923
Beau Brummel,Harry Beaumont,Drama,1924
The Lover of Camille,Harry Beaumont,"Drama, Romance",1924
Babbitt,Harry Beaumont,Drama,1924
Recompense,Harry Beaumont,Drama,1925
"His Majesty, Bunker Bean",Harry Beaumont,Comedy,1925
Rose of the World,Harry Beaumont,Drama,1925
Sandy,Harry Beaumont,Drama,1926
Womanpower,Harry Beaumont,"Comedy, Drama",1926
One Increasing Purpose,Harry Beaumont,Drama,1927
Our Dancing Daughters,Harry Beaumont,"Drama, Romance",1928
Forbidden Hours,Harry Beaumont,"Drama, Romance",1928
The Broadway Melody,Harry Beaumont,"Music, Romance, Drama",1929
Speedway,Harry Beaumont,"Drama, Romance",1929
A Single Man,Harry Beaumont,"Comedy, Romance",1929
Lord Byron of Broadway,Harry Beaumont,"Drama, Romance",1930
Our Blushing Brides,Harry Beaumont,Drama,1930
The Florodora Girl,Harry Beaumont,"Drama, Romance",1930
Children of Pleasure,Harry Beaumont,"Comedy, Music, Romance",1930
Those Three French Girls,Harry Beaumont,Comedy,1930
Laughing Sinners,Harry Beaumont,"Drama, Romance",1931
"Dance, Fools, Dance",Harry Beaumont,"Drama, Crime, Romance",1931
West of Broadway,Harry Beaumont,"Drama, Romance, War",1931
Are You Listening?,Harry Beaumont,"Drama, Crime",1932
Faithless,Harry Beaumont,Drama,1932
Unashamed,Harry Beaumont,Drama,1932
